geneID,geneID,hamming
Sh3gl2,Sh3gl2,0.3227848101265823
Nrxn3,Nrxn3,0.2616279069767442
Mxi1,Mxi1,0.7176470588235294
Grm5,Grm5,0.25
Ier5,Ier5,0.5
Slc38a3,Slc38a3,0.3888888888888889
Ube2ql1,Ube2ql1,0.13953488372093023
Rgcc,Rgcc,0.25
Igfbp7,Igfbp7,0.29545454545454547
Fads1,Fads1,0.6153846153846154
Kif1a,Kif1a,0.5925925925925926
Sept4,Sept4,0.7230769230769231
Grik5,Grik5,0.625
Mt2,Mt2,0.37349397590361444
Slc35f1,Slc35f1,0.484375
March5,March5,0.7333333333333333
Rasa1,Rasa1,0.3333333333333333
Metrn,Metrn,0.3674698795180723
Ccrn4l,Ccrn4l,0.4537037037037037
Fam213b,Fam213b,0.5
Ap1s1,Ap1s1,0.6867469879518072
Prss23,Prss23,0.7
Grb2,Grb2,0.19540229885057472
Dlx2,Dlx2,0.1987179487179487
Tmem229a,Tmem229a,0.3284313725490196
Mkl2,Mkl2,0.65625
Timp3,Timp3,0.6666666666666666
Rnf145,Rnf145,0.6818181818181818
Lifr,Lifr,0.6153846153846154
Atcay,Atcay,0.64375
Ppm1k,Ppm1k,0.5721649484536082
Sox10,Sox10,0.75
Reln,Reln,0.23660714285714285
Tmem132b,Tmem132b,0.4827586206896552
Camk4,Camk4,0.2169811320754717
Dclk2,Dclk2,0.4
Snhg11,Snhg11,0.43333333333333335
Spock3,Spock3,0.4864864864864865
Lamp2,Lamp2,0.725
Sh3pxd2a,Sh3pxd2a,0.7857142857142857
Ramp1,Ramp1,0.6
Tmem35,Tmem35,0.39759036144578314
Cdo1,Cdo1,0.3709677419354839
Serpine2,Serpine2,0.3430232558139535
Pik3r1,Pik3r1,0.7549019607843137
Ctnna1,Ctnna1,0.515625
Gm12070,Gm12070,0.5645161290322581
Ppp1r16b,Ppp1r16b,0.5128205128205128
Edil3,Edil3,0.2
Etnk1,Etnk1,0.5476190476190477
Prkcb,Prkcb,0.7152777777777778
Jup,Jup,0.39705882352941174
Etl4,Etl4,0.29878048780487804
Kcnb1,Kcnb1,0.4396551724137931
Icam5,Icam5,0.2222222222222222
Ms4a15,Ms4a15,0.42857142857142855
Pgbd5,Pgbd5,0.45384615384615384
Sybu,Sybu,0.45294117647058824
Mmd2,Mmd2,0.29213483146067415
Cnn3,Cnn3,0.46774193548387094
Csnk1g3,Csnk1g3,0.4397590361445783
Psmd2,Psmd2,0.3850574712643678
Arpc5,Arpc5,0.453125
Cplx2,Cplx2,0.3894230769230769
Smarcd1,Smarcd1,0.1987179487179487
Galnt16,Galnt16,0.49038461538461536
Wipf3,Wipf3,0.27631578947368424
Cacnb4,Cacnb4,0.4716981132075472
Rasd2,Rasd2,0.2076271186440678
2010300C02Rik,2010300C02Rik,0.6904761904761905
Tspan15,Tspan15,0.5517241379310345
Ppfia2,Ppfia2,0.2375
R3hdm4,R3hdm4,0.2796610169491525
Acsbg1,Acsbg1,0.21341463414634146
Ktn1,Ktn1,0.6264367816091954
Cav1,Cav1,0.3023255813953488
Qrich1,Qrich1,0.42592592592592593
Tax1bp3,Tax1bp3,0.40625
Celf3,Celf3,0.41333333333333333
Camk2a,Camk2a,0.6136363636363636
Nfib,Nfib,0.551948051948052
Trp53i11,Trp53i11,0.34513274336283184
Fam131b,Fam131b,0.34523809523809523
Gpt2,Gpt2,0.2641509433962264
Ctxn1,Ctxn1,0.3013698630136986
Aspa,Aspa,0.22727272727272727
Psd,Psd,0.5348837209302325
Zfp36l2,Zfp36l2,0.6538461538461539
Kcnj4,Kcnj4,0.28888888888888886
Elovl5,Elovl5,0.54
Abr,Abr,0.453125
Prkar1b,Prkar1b,0.5344827586206896
Scn3a,Scn3a,0.4807692307692308
Fgf13,Fgf13,0.3020833333333333
Cpne4,Cpne4,0.12337662337662338
Bai2,Bai2,0.19014084507042253
Usp22,Usp22,0.573170731707317
Slc6a17,Slc6a17,0.726027397260274
Tyro3,Tyro3,0.15254237288135594
Pip5k1c,Pip5k1c,0.42613636363636365
Gabra5,Gabra5,0.35185185185185186
Bcan,Bcan,0.31981981981981983
Camkk2,Camkk2,0.4305555555555556
Atp2b4,Atp2b4,0.7692307692307693
Snrk,Snrk,0.5
Myt1l,Myt1l,0.38823529411764707
Bzrap1,Bzrap1,0.6447368421052632
Rasgef1a,Rasgef1a,0.48125
Eomes,Eomes,0.2891566265060241
Psat1,Psat1,0.4375
