geneID,geneID,hamming
Nrsn1,Nrsn1,0.18382352941176472
Ctxn1,Ctxn1,0.1896551724137931
Slc1a2,Slc1a2,0.25
2900097C17Rik,2900097C17Rik,0.375
Inpp5j,Inpp5j,0.20481927710843373
Frmd7,Frmd7,0.20121951219512196
Aspa,Aspa,0.36363636363636365
Plekhb1,Plekhb1,0.358695652173913
Psd,Psd,0.15294117647058825
Kcnj4,Kcnj4,0.16417910447761194
Zfp36l2,Zfp36l2,0.59375
Baiap2,Baiap2,0.2088607594936709
Dcx,Dcx,0.24404761904761904
Arc,Arc,0.4224137931034483
Kalrn,Kalrn,0.30985915492957744
Plcb1,Plcb1,0.13333333333333333
Foxo1,Foxo1,0.3472222222222222
Bmp7,Bmp7,0.5555555555555556
Pcp4,Pcp4,0.0967741935483871
Scn3a,Scn3a,0.3673469387755102
Lmo4,Lmo4,0.33783783783783783
Srebf1,Srebf1,0.48333333333333334
Prkce,Prkce,0.3765432098765432
Fam102b,Fam102b,0.6071428571428571
Nnat,Nnat,0.3108108108108108
Stxbp6,Stxbp6,0.25
Cpne4,Cpne4,0.16091954022988506
Olfm1,Olfm1,0.40540540540540543
Syne1,Syne1,0.17058823529411765
Kcnj10,Kcnj10,0.07222222222222222
Igf1,Igf1,0.4342105263157895
Dgkb,Dgkb,0.19186046511627908
Syt1,Syt1,0.32558139534883723
Calb2,Calb2,0.4420289855072464
Sparc,Sparc,0.1702127659574468
Cmtm5,Cmtm5,0.3125
Kcnd2,Kcnd2,0.2616279069767442
Laptm4a,Laptm4a,0.2558139534883721
Fabp7,Fabp7,0.14166666666666666
Pbx1,Pbx1,0.6203703703703703
Eml5,Eml5,0.22043010752688172
Pcp4l1,Pcp4l1,0.11486486486486487
Beta-s,Beta-s,0.48717948717948717
Vtn,Vtn,0.1320754716981132
Trank1,Trank1,0.525
Rasgrf2,Rasgrf2,0.4636363636363636
Cyp2j9,Cyp2j9,0.4393939393939394
Igfbp5,Igfbp5,0.24324324324324326
Purb,Purb,0.25675675675675674
Hsd17b11,Hsd17b11,0.21296296296296297
Dync1i1,Dync1i1,0.14285714285714285
Sez6,Sez6,0.21830985915492956
Dclk1,Dclk1,0.3490566037735849
Camkv,Camkv,0.6395348837209303
S100a5,S100a5,0.24528301886792453
Slc17a7,Slc17a7,0.5769230769230769
Camk1d,Camk1d,0.5405405405405406
Fstl5,Fstl5,0.5952380952380952
Gja1,Gja1,0.1797752808988764
Vim,Vim,0.07758620689655173
Map1b,Map1b,0.24675324675324675
Nat8l,Nat8l,0.27380952380952384
Rragd,Rragd,0.11538461538461539
Aqp4,Aqp4,0.14204545454545456
Abl2,Abl2,0.3153846153846154
R3hdm1,R3hdm1,0.2608695652173913
Sorbs1,Sorbs1,0.3902439024390244
Gabra1,Gabra1,0.08695652173913043
Mest,Mest,0.5769230769230769
Doc2g,Doc2g,0.057971014492753624
Eno2,Eno2,0.26881720430107525
Gria3,Gria3,0.15
Slc7a11,Slc7a11,0.11702127659574468
D3Bwg0562e,D3Bwg0562e,0.2222222222222222
Hpcal4,Hpcal4,0.14516129032258066
Cd63,Cd63,0.32954545454545453
Prkca,Prkca,0.10344827586206896
Stxbp1,Stxbp1,0.6162790697674418
Msi2,Msi2,0.16477272727272727
Egr1,Egr1,0.10273972602739725
Arpp21,Arpp21,0.16489361702127658
Fam3c,Fam3c,0.3333333333333333
Necab2,Necab2,0.5138888888888888
Strbp,Strbp,0.25287356321839083
Wasf1,Wasf1,0.30405405405405406
Rasgrp1,Rasgrp1,0.21875
Map1a,Map1a,0.125
Pmepa1,Pmepa1,0.6346153846153846
Ptgds,Ptgds,0.5
Sema3c,Sema3c,0.36923076923076925
Sepp1,Sepp1,0.23728813559322035
Agap2,Agap2,0.16489361702127658
Zfp36l1,Zfp36l1,0.34615384615384615
Hmgcs2,Hmgcs2,0.23684210526315788
Cldn5,Cldn5,0.2127659574468085
Cacna2d1,Cacna2d1,0.5
Frzb,Frzb,0.12037037037037036
