geneID,geneID,hamming
Sash1,Sash1,0.26595744680851063
Snap25,Snap25,0.2542372881355932
Syn2,Syn2,0.6375
Nrxn3,Nrxn3,0.14736842105263157
Ube2ql1,Ube2ql1,0.29245283018867924
Rgcc,Rgcc,0.5
Tshz1,Tshz1,0.13194444444444445
Grm5,Grm5,0.29464285714285715
Sipa1l1,Sipa1l1,0.13736263736263737
Nrep,Nrep,0.24242424242424243
Bgn,Bgn,0.2857142857142857
Syt7,Syt7,0.41333333333333333
Hadhb,Hadhb,0.35185185185185186
Nrgn,Nrgn,0.1792452830188679
Meis2,Meis2,0.11627906976744186
Map2,Map2,0.23214285714285715
Mbp,Mbp,0.2222222222222222
Agt,Agt,0.18292682926829268
Gprin1,Gprin1,0.34
Camk2n1,Camk2n1,0.21511627906976744
Nr2f2,Nr2f2,0.21951219512195122
Atp1a2,Atp1a2,0.05913978494623656
Rasa1,Rasa1,0.6886792452830188
Cck,Cck,0.12921348314606743
Kctd12,Kctd12,0.11666666666666667
Tubb2b,Tubb2b,0.3617021276595745
Lpar1,Lpar1,0.25
Cdhr1,Cdhr1,0.13380281690140844
Adarb1,Adarb1,0.38235294117647056
Plp1,Plp1,0.23636363636363636
Rab40b,Rab40b,0.1885245901639344
Ppp3ca,Ppp3ca,0.21551724137931033
Grb2,Grb2,0.13414634146341464
Mkl2,Mkl2,0.1524390243902439
B2m,B2m,0.34375
Marcks,Marcks,0.0847457627118644
Apod,Apod,0.043859649122807015
Cx3cl1,Cx3cl1,0.14705882352941177
Timp3,Timp3,0.3068181818181818
Arf3,Arf3,0.14285714285714285
Tenm3,Tenm3,0.2152777777777778
Scd1,Scd1,0.14772727272727273
Camk2b,Camk2b,0.09782608695652174
Pnmal2,Pnmal2,0.18181818181818182
Glul,Glul,0.03125
Mapt,Mapt,0.6304347826086957
Serpine2,Serpine2,0.16049382716049382
Nudt4,Nudt4,0.2692307692307692
Pik3r1,Pik3r1,0.6
Penk,Penk,0.060810810810810814
Ptn,Ptn,0.211340206185567
Epas1,Epas1,0.2468354430379747
Rbfox1,Rbfox1,0.21333333333333335
Gsn,Gsn,0.21794871794871795
Bin1,Bin1,0.27631578947368424
Edil3,Edil3,0.19148936170212766
Cpne6,Cpne6,0.17058823529411765
Rbfox3,Rbfox3,0.125
Itm2a,Itm2a,0.28735632183908044
Prkcb,Prkcb,0.17721518987341772
Cplx1,Cplx1,0.12727272727272726
Prdx6,Prdx6,0.28350515463917525
Bcl11b,Bcl11b,0.25
Map2k1,Map2k1,0.12837837837837837
Icam5,Icam5,0.22916666666666666
Grin1,Grin1,0.22784810126582278
Syn1,Syn1,0.2922077922077922
Phgdh,Phgdh,0.325
Arap2,Arap2,0.34057971014492755
Mmd2,Mmd2,0.1885245901639344
C1qtnf4,C1qtnf4,0.19886363636363635
Shisa9,Shisa9,0.30851063829787234
Atf5,Atf5,0.36363636363636365
Mapk1,Mapk1,0.1206896551724138
Kif5b,Kif5b,0.24742268041237114
Apoe,Apoe,0.16666666666666666
Sparcl1,Sparcl1,0.07303370786516854
Bcl11a,Bcl11a,0.1858974358974359
2010300C02Rik,2010300C02Rik,0.12790697674418605
Gpsm1,Gpsm1,0.07432432432432433
Ppfia2,Ppfia2,0.2532467532467532
Atp2b2,Atp2b2,0.2393617021276596
Mbnl1,Mbnl1,0.6296296296296297
Ahnak,Ahnak,0.45714285714285713
Celf5,Celf5,0.2469879518072289
Myo5a,Myo5a,0.3161764705882353
Ahcyl2,Ahcyl2,0.3375
Dst,Dst,0.19117647058823528
Gng4,Gng4,0.13068181818181818
Ank3,Ank3,0.26842105263157895
Igfbp2,Igfbp2,0.5094339622641509
Psd3,Psd3,0.15833333333333333
Camk2a,Camk2a,0.21649484536082475
Lbh,Lbh,0.4
Hivep2,Hivep2,0.2857142857142857
Runx1t1,Runx1t1,0.5375
Id3,Id3,0.36597938144329895
Gda,Gda,0.1232876712328767
Mfap3l,Mfap3l,0.3263157894736842
Mcf2l,Mcf2l,0.25961538461538464
Fam131b,Fam131b,0.4418604651162791
Gng13,Gng13,0.6
Gabrb2,Gabrb2,0.26506024096385544
Ncam1,Ncam1,0.16037735849056603
Gpt2,Gpt2,0.3372093023255814
Plcxd2,Plcxd2,0.5490196078431373
