,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
0,2.0597587197836915e-09,4,UBE2G2,0.3971020020095622,485165195.4097903,-241.07799064778646,-3.094014382962865,2.053671482118815e-08,SE,254,0.13338274834426747,2.2763682394939604e+16,0.0009999275207519531,504.3053183636471,-241.07897748464262,0.0009868368561569696,0.9749394085153715,0.9749394361156428
1,0.9999545713886007,4,INAFM1,0.3971020020095622,4.5399929762484854e-05,-191.28283132045698,-1.9282212992875398,3.4452852092498207,SE,254,278.09018787563673,97585346568.74544,0.0009999275207519531,404.7149997089881,-191.61497091212533,0.3321395916683514,0.5644019267742371,0.9749394361156428
2,0.9999545713886006,4,VDAC1,0.3971020020095622,4.5399929762484854e-05,-287.57937951450515,-4.4405129132761045,17.43123837579163,SE,254,1.1989289415624906,420719253.5906378,0.002000093460083008,597.3080960970844,-289.0499285669738,1.470549052468641,0.22525908557472663,0.9749394361156428
3,2.0597587197836915e-09,4,RBMS1,0.3971020020095622,485165195.4097903,-266.4602347948771,-2.0596455148638073,9.727337697886602e-09,SE,254,6.612658543954456,1.1285451885594802e+18,0.0009999275207519531,555.0698066578284,-266.4612216369684,0.0009868420912653164,0.9749393420648806,0.9749394361156428
4,2.059758719783692e-09,4,PGS1,0.3971020020095622,485165195.4097903,-69.2993523095356,-1.5997448344528262,5.483134762617568e-09,SE,254,0.26558297643121176,4.532555071798884e+16,0.0009999275207519531,160.74804168714536,-69.30033914816934,0.0009868386337359425,0.9749393859521138,0.9749394361156428
5,2.059758719783692e-09,4,WDR1,0.3971020020095622,485165195.4097903,-321.65325926396736,-4.073142593632831,3.571460950092137e-08,SE,254,4318.637493520872,7.370375367258828e+20,0.0009999275207519531,665.4558555960089,-321.6542461069587,0.0009868429913240107,0.9749393306402366,0.9749394361156428
6,2.059758719783692e-09,4,DDX52,0.3971020020095622,485165195.4097903,-306.60404896931004,-5.439841682564084,6.234271613343889e-08,SE,254,1.237521931890102,2.1120089789729603e+17,0.0019998550415039062,635.3574350066942,-306.6050358102648,0.0009868409547379997,0.9749393564910805,0.9749394361156428
7,0.9999545713886008,4,GPR89A,0.3971020020095622,4.5399929762484854e-05,-87.312381935031,-1.5699703457990672,2.225137652166615,SE,254,34.10098486346022,11966464734.543228,0.0009999275207519531,196.77410093813614,-87.57197870758571,0.25959677255471547,0.6103973128249934,0.9749394361156428
8,2.059758719783692e-09,4,PPP2R3C,0.3971020020095622,485165195.4097903,-58.630667391585575,-1.7174436782781746,6.2710887985338585e-09,SE,254,0.5029208819637684,8.583067427323824e+16,0.0010001659393310547,139.4106718512453,-58.6316542314008,0.0009868398152264035,0.9749393709551689,0.9749394361156428
9,0.9999545713886006,4,ENO1,0.3971020020095622,4.5399929762484854e-05,-306.7066480035108,-3.9315233452653575,13.87853477129644,SE,254,2661.2366673327883,933861437066.6017,0.0009999275207519531,635.5626330750957,-307.3355211122015,0.6288731086906978,0.42776896651012963,0.9749394361156428
10,0.5100760886264367,4,TUBB,0.3971020020095622,0.9598418025566352,-297.09058996116687,-5.42414970331524,14.12336549417545,SE,254,13.624068452244535,255.35249426779635,0.0,616.3305169904079,-297.3182534803206,0.22766351915373662,0.6332617318038528,0.9749394361156428
11,0.9999545713886007,4,NQO1,0.3971020020095622,4.5399929762484854e-05,-294.4419835293223,-5.350144585959301,25.079973008742755,SE,254,30876.378048554598,10834909622928.764,0.0010001659393310547,611.0333041267187,-294.8374366749337,0.39545314561144096,0.529446834038285,0.9749394361156428
12,0.9999545713886006,4,PLGRKT,0.3971020020095622,4.5399929762484854e-05,-272.5361259400055,-4.662932078050411,19.099819562684804,SE,254,1.3296786131700913,466600958.78517675,0.0009999275207519531,567.2215889480851,-273.99239287692524,1.4562669369197465,0.22752502535969577,0.9749394361156428
13,2.059758719783692e-09,4,ISYNA1,0.3971020020095622,485165195.4097903,-188.93933146426298,-2.278907635355219,1.1238681860233932e-08,SE,254,0.40108955562753484,6.845169536218409e+16,0.0010004043579101562,400.0279999966001,-188.94031830370335,0.0009868394403724778,0.9749393757132797,0.9749394361156428
14,2.059758719783692e-09,4,TRIM21,0.3971020020095622,485165195.4097903,54.20454036597903,-1.3990839803012936,4.113330855642125e-09,SE,254,0.8145303146306946,1.3901130103756965e+17,0.0009999275207519531,-86.25974366388391,54.20355352549015,0.0009868404888777604,0.974939362404353,0.9749394361156428
15,2.059758719783692e-09,4,PUS10,0.3971020020095622,485165195.4097903,-59.56876614397834,-1.6815205382998337,6.020838568743435e-09,SE,254,109.365721897748,1.866483176480914e+19,0.0009999275207519531,141.28686935603082,-59.56975298672313,0.000986842744794103,0.9749393337694947,0.9749394361156428
16,2.059758719783692e-09,4,NBR1,0.3971020020095622,485165195.4097903,-274.35089061845883,-3.6395174048125636,2.8348909173706518e-08,SE,254,0.9501068201105617,1.621493796067246e+17,0.0009999275207519531,570.8511183049918,-274.3518774591308,0.0009868406719419909,0.9749393600806759,0.9749394361156428
17,0.5026691832747102,4,NAA15,0.3971020020095622,0.9887103915807902,-254.84239983211938,-3.4069709400050314,5.595921032266198,SE,254,45.592934406031404,854.029391614563,0.0009999275207519531,531.8341367323129,-254.94432202613825,0.1019221940188686,0.7495350070386766,0.9749394361156428
18,2.059758719783692e-09,4,CREBZF,0.3971020020095622,485165195.4097903,-270.69708579272674,-3.1222326484150247,2.110982432472331e-08,SE,254,0.26419993420583404,4.508951469123048e+16,0.0019998550415039062,563.5435086535276,-270.698072631349,0.0009868386222819936,0.9749393860975016,0.9749394361156428
19,2.059758719783692e-09,4,NIN,0.3971020020095622,485165195.4097903,-211.74641749491957,-2.534940766362272,1.3884159375359606e-08,SE,254,1.1106112071830876,1.8954175932350122e+17,0.002000093460083008,445.6421720579133,-211.7474043357634,0.0009868408438364895,0.9749393578987792,0.9749394361156428
20,2.0597587197836915e-09,4,SLC40A1,0.3971020020095622,485165195.4097903,-215.3194193220902,-2.3668543363426884,1.2204165452324338e-08,SE,254,57.33319424573503,9.78473333844288e+18,0.0009999275207519531,452.78817571225454,-215.32040616475427,0.0009868426640764483,0.9749393347940617,0.9749394361156428
21,0.5113163750127788,4,ALKBH5,0.3971020020095622,0.9550895085672608,-226.1064931191691,-3.091647063579746,4.675425827311153,SE,254,13.746618963661101,257.6924655404255,0.0009999275207519531,474.36232330641235,-226.34279389506236,0.23630077589325538,0.626890749585038,0.9749394361156428
22,2.059758719783692e-09,4,USP53,0.3971020020095622,485165195.4097903,-197.5957495221337,-2.296966236775449,1.1446687272519255e-08,SE,254,6504.724654497346,1.1101247195726622e+21,0.0009999275207519531,417.34083611234155,-197.59673636511957,0.0009868429858670424,0.9749393307095031,0.9749394361156428
23,2.0597587197836915e-09,4,CAST,0.3971020020095622,485165195.4097903,-268.7908454146327,-3.3649031461659287,2.4339416509714958e-08,SE,254,1.5381452974665821,2.625065944692241e+17,0.0009999275207519531,559.7310278973396,-268.791832255795,0.000986841162273322,0.9749393538567869,0.9749394361156428
24,2.0597587197836915e-09,4,CASP8,0.3971020020095622,485165195.4097903,-95.51809895819088,-1.5304674712400008,5.083923226536543e-09,SE,254,5620.825351118913,9.592746039394003e+20,0.0009999275207519531,213.1855349844559,-95.51908580111902,0.0009868429281425506,0.9749393314422127,0.9749394361156428
25,2.0597587197836923e-09,4,OVGP1,0.3971020020095622,485165195.4097903,15.837472469415388,-1.4033484897851811,4.165740480500628e-09,SE,254,2.6066270294334224,4.4485835354761965e+17,0.0009999275207519531,-9.52560787075663,15.836485627837959,0.0009868415774292316,0.974939348587118,0.9749394361156428
26,0.9999545713886007,4,IFI6,0.3971020020095622,4.5399929762484854e-05,-331.5604058086752,-7.737207988531199,52.00300475741182,SE,254,152.5481753856041,53531074494.76513,0.0009999275207519531,685.2701486854246,-332.14816108948895,0.5877552808137239,0.44328845277639584,0.9749394361156428
